bus_number,bus_type,source,destination,departure_time,arrival_time,ticket_price_rs,available_seats
TNSTC 7404,Ultra Deluxe,Tirupur,Karur,05:31 PM,03:09 AM,290,17
TNSTC 1921,AC Sleeper,Dindigul,Virudhunagar,05:09 PM,07:45 PM,300,30
TNSTC 4876,Ultra Deluxe,Namakkal,Tiruvarur,01:30 PM,09:49 PM,250,2
TNSTC 5850,Sleeper,Karur,Ariyalur,01:48 PM,08:57 PM,280,15
TNSTC 7704,Express,Namakkal,Villupuram,10:09 AM,04:14 PM,250,19
TNSTC 2096,Government,Ariyalur,Thoothukudi,05:59 PM,01:51 AM,420,10
TNSTC 7925,Sleeper,Trichy,Erode,04:08 AM,12:22 PM,590,15
TNSTC 8675,Ultra Deluxe,Chennai,Salem,07:17 PM,11:49 PM,150,15
TNSTC 1066,Government,Perambalur,Sivaganga,12:55 PM,08:32 PM,200,18
TNSTC 7480,Express,Karur,Tiruvarur,08:33 AM,05:05 PM,350,4
TNSTC 2816,Sleeper,Vellore,Tiruvallur,10:43 AM,08:24 PM,580,32
TNSTC 2387,Sleeper,Tirupathur,Salem,08:08 AM,11:31 AM,380,14
TNSTC 3477,Deluxe,Tirunelveli,Tiruvallur,10:42 PM,03:26 AM,280,24
TNSTC 3372,AC Sleeper,Tirupathur,Thoothukudi,12:05 AM,06:01 AM,630,15
TNSTC 2612,Express,Cuddalore,Sivaganga,12:35 AM,06:49 AM,180,7
TNSTC 3053,Express,Namakkal,Tirunelveli,04:34 AM,01:28 PM,260,9
TNSTC 1135,AC Sleeper,Ambur,Perambalur,12:04 PM,02:30 PM,230,24
TNSTC 4303,Government,Vellore,Tiruvallur,10:02 AM,07:33 PM,160,23
TNSTC 7576,Sleeper,Thanjavur,Thoothukudi,06:32 AM,10:34 AM,250,33
TNSTC 1722,Sleeper,Ranipet,Tiruvarur,10:29 PM,07:16 AM,150,3
TNSTC 4179,AC Seater,Dindigul,Villupuram,01:57 AM,08:55 AM,500,27
TNSTC 6698,Deluxe,Mayiladuthurai,Sivaganga,10:46 AM,05:11 PM,640,35
TNSTC 1577,Government,Pudukkottai,Chennai,01:16 AM,04:06 AM,530,15
TNSTC 9268,Sleeper,Ramanathapuram,Thanjavur,11:52 PM,03:39 AM,300,17
TNSTC 3106,AC Sleeper,Ariyalur,Perambalur,04:25 AM,08:15 AM,620,12
TNSTC 4111,Government,Kallakurichi,Dindigul,01:50 AM,07:11 AM,190,6
TNSTC 1239,Express,Nagapattinam,Trichy,06:43 PM,09:32 PM,630,28
TNSTC 1887,Government,Mayiladuthurai,Kanyakumari,12:48 PM,08:22 PM,430,19
TNSTC 8016,Deluxe,Mayiladuthurai,Karur,09:26 PM,07:22 AM,560,15
TNSTC 9366,Government,Kallakurichi,Chengalpattu,02:27 PM,10:50 PM,550,12
TNSTC 8291,Government,Nilgiris,Chengalpattu,07:18 PM,10:42 PM,440,40
TNSTC 3174,Ultra Deluxe,Tirupur,Coimbatore,09:12 PM,01:05 AM,290,9
TNSTC 5033,AC Seater,Krishnagiri,Pudukkottai,05:46 PM,12:13 AM,450,36
TNSTC 1224,Sleeper,Tiruvannamalai,Chennai,02:28 PM,05:04 PM,230,22
TNSTC 1533,AC Sleeper,Trichy,Madurai,05:54 AM,03:20 PM,170,40
TNSTC 2321,AC Seater,Dindigul,Coimbatore,08:37 AM,11:00 AM,170,39
TNSTC 5777,Deluxe,Theni,Madurai,04:36 PM,07:32 PM,580,2
TNSTC 8215,AC Sleeper,Namakkal,Krishnagiri,08:36 AM,11:58 AM,370,28
TNSTC 6114,Express,Ambur,Tiruvarur,09:16 AM,02:08 PM,230,21
TNSTC 7686,Ultra Deluxe,Mayiladuthurai,Tiruvannamalai,06:15 AM,11:37 AM,280,29
TNSTC 7029,Government,Madurai,Theni,11:47 PM,07:08 AM,200,25
TNSTC 9862,AC Sleeper,Nagapattinam,Chennai,03:41 AM,11:42 AM,470,21
TNSTC 7827,Government,Cuddalore,Trichy,06:15 AM,12:45 PM,420,27
TNSTC 2764,Government,Nagapattinam,Mayiladuthurai,12:29 PM,08:20 PM,320,7
TNSTC 7358,Express,Theni,Krishnagiri,06:06 PM,09:48 PM,530,12
TNSTC 1458,Express,Erode,Trichy,02:50 AM,06:03 AM,250,37
TNSTC 4722,Ultra Deluxe,Dharmapuri,Theni,03:18 AM,07:47 AM,390,35
TNSTC 9961,Sleeper,Madurai,Perambalur,07:17 PM,10:23 PM,520,21
TNSTC 3674,Express,Ranipet,Namakkal,03:36 PM,09:16 PM,450,27
TNSTC 3157,Sleeper,Karur,Tiruvarur,10:54 PM,03:20 AM,220,2
TNSTC 8990,Sleeper,Dindigul,Perambalur,01:34 AM,09:59 AM,210,40
TNSTC 8011,Ultra Deluxe,Tirunelveli,Ramanathapuram,11:09 PM,03:33 AM,220,9
TNSTC 6612,Government,Krishnagiri,Tiruvarur,04:00 PM,01:22 AM,430,38
TNSTC 3032,Government,Tenkasi,Ariyalur,09:37 PM,01:27 AM,550,31
TNSTC 1851,Ultra Deluxe,Thanjavur,Virudhunagar,07:01 AM,12:56 PM,320,2
TNSTC 3811,Deluxe,Karur,Thanjavur,04:29 AM,01:13 PM,210,7
TNSTC 1692,Deluxe,Pudukkottai,Ambur,05:26 AM,01:32 PM,510,6
TNSTC 2804,AC Sleeper,Salem,Tiruvarur,06:36 AM,11:44 AM,510,18
TNSTC 1079,Ultra Deluxe,Ramanathapuram,Kanchipuram,12:14 AM,08:09 AM,320,24
TNSTC 7720,Ultra Deluxe,Villupuram,Trichy,03:10 PM,01:00 AM,390,18
TNSTC 5869,Deluxe,Cuddalore,Theni,06:50 PM,04:22 AM,290,22
TNSTC 9199,Express,Tiruvannamalai,Dindigul,05:40 AM,02:43 PM,530,19
TNSTC 9826,Government,Coimbatore,Sivaganga,02:46 AM,10:27 AM,280,1
TNSTC 4651,Deluxe,Ramanathapuram,Krishnagiri,08:20 PM,11:11 PM,280,29
TNSTC 9735,Express,Theni,Thoothukudi,01:22 PM,05:49 PM,590,18
TNSTC 2825,Sleeper,Dharmapuri,Coimbatore,06:50 PM,09:40 PM,350,29
TNSTC 7192,Ultra Deluxe,Trichy,Karur,01:42 PM,08:52 PM,350,17
TNSTC 3441,Sleeper,Virudhunagar,Trichy,01:39 AM,08:29 AM,550,9
TNSTC 6576,Ultra Deluxe,Chennai,Kallakurichi,04:08 AM,08:42 AM,180,12
TNSTC 1982,Ultra Deluxe,Tiruvarur,Nilgiris,07:40 AM,01:28 PM,430,3
TNSTC 2859,Sleeper,Dindigul,Kanyakumari,03:03 AM,07:40 AM,230,20
TNSTC 5449,Deluxe,Pudukkottai,Tiruvallur,11:22 AM,07:10 PM,510,24
TNSTC 7874,AC Sleeper,Ramanathapuram,Tiruvallur,11:59 AM,09:43 PM,370,35
TNSTC 9357,AC Seater,Virudhunagar,Villupuram,06:37 PM,03:55 AM,190,18
TNSTC 6181,AC Seater,Theni,Tirupathur,01:01 PM,04:01 PM,240,26
TNSTC 1982,Sleeper,Tiruvannamalai,Thoothukudi,07:54 AM,01:42 PM,360,11
TNSTC 1345,AC Seater,Perambalur,Pudukkottai,02:42 AM,06:25 AM,260,38
TNSTC 2811,AC Seater,Tirunelveli,Dharmapuri,10:16 AM,01:06 PM,210,27
TNSTC 2083,AC Seater,Kanyakumari,Chennai,02:55 AM,09:47 AM,320,14
TNSTC 5070,Deluxe,Mayiladuthurai,Villupuram,08:57 PM,06:53 AM,490,3
TNSTC 6108,Sleeper,Trichy,Kanyakumari,10:23 AM,05:03 PM,420,7
TNSTC 2243,Deluxe,Karur,Perambalur,02:45 AM,09:11 AM,370,24
TNSTC 8647,AC Seater,Chennai,Ranipet,10:47 PM,08:17 AM,500,29
TNSTC 1499,Government,Madurai,Tenkasi,05:03 PM,08:23 PM,240,13
TNSTC 7060,Government,Virudhunagar,Kanyakumari,03:59 PM,08:18 PM,330,24
TNSTC 4766,Sleeper,Salem,Krishnagiri,09:53 AM,06:58 PM,440,35
TNSTC 1935,AC Seater,Ramanathapuram,Kanyakumari,12:11 AM,08:38 AM,550,20
TNSTC 2881,Government,Dharmapuri,Madurai,07:40 PM,01:59 AM,150,15
TNSTC 1687,Ultra Deluxe,Dharmapuri,Tiruvallur,03:56 AM,11:42 AM,300,22
TNSTC 5865,AC Sleeper,Cuddalore,Ariyalur,09:21 AM,12:03 PM,610,21
TNSTC 3187,AC Sleeper,Villupuram,Ambur,09:22 PM,07:06 AM,150,22
TNSTC 1541,Government,Karur,Tirupathur,03:17 PM,06:06 PM,440,15
TNSTC 5005,Express,Cuddalore,Nagapattinam,07:01 PM,11:21 PM,440,13
TNSTC 5702,Deluxe,Dharmapuri,Ramanathapuram,12:41 PM,03:14 PM,420,18
TNSTC 7782,Government,Thanjavur,Tirupur,03:23 PM,01:06 AM,600,24
TNSTC 2348,Express,Krishnagiri,Dharmapuri,10:44 AM,02:11 PM,280,26
TNSTC 3959,AC Sleeper,Coimbatore,Trichy,04:11 PM,06:45 PM,410,13
TNSTC 3320,Deluxe,Tiruvarur,Thoothukudi,08:20 PM,02:29 AM,610,33
TNSTC 8005,Government,Karur,Dindigul,09:27 AM,02:25 PM,630,34
TNSTC 7316,Deluxe,Mayiladuthurai,Madurai,03:40 AM,06:10 AM,420,27
TNSTC 5405,Express,Thanjavur,Erode,06:33 AM,09:48 AM,570,4
TNSTC 1047,Express,Tirupur,Chennai,01:28 PM,10:40 PM,190,17
TNSTC 3463,Government,Dindigul,Kanyakumari,03:24 PM,06:44 PM,510,21
TNSTC 9325,Government,Krishnagiri,Coimbatore,12:10 AM,04:46 AM,290,13
TNSTC 3912,AC Sleeper,Erode,Chennai,05:36 AM,03:09 PM,200,19
TNSTC 8649,Ultra Deluxe,Perambalur,Tirupur,11:49 AM,08:25 PM,390,10
TNSTC 2234,AC Sleeper,Erode,Cuddalore,04:12 PM,11:15 PM,550,6
TNSTC 1337,Sleeper,Vellore,Karur,01:22 AM,07:04 AM,570,39
TNSTC 1521,AC Sleeper,Thanjavur,Madurai,06:17 AM,02:56 PM,220,3
TNSTC 7908,Express,Kallakurichi,Tirupathur,03:04 PM,08:56 PM,270,19
TNSTC 8178,AC Seater,Kallakurichi,Sivaganga,08:59 PM,03:58 AM,370,2
TNSTC 5884,Government,Chennai,Tiruvallur,05:16 PM,08:26 PM,580,35
TNSTC 4193,Ultra Deluxe,Nilgiris,Namakkal,01:37 AM,04:04 AM,500,7
TNSTC 2127,Express,Dindigul,Kanchipuram,04:25 PM,11:03 PM,160,34
TNSTC 7337,Ultra Deluxe,Tiruvallur,Tiruvarur,08:45 PM,02:55 AM,380,4
TNSTC 4343,Sleeper,Salem,Dindigul,05:27 PM,12:51 AM,310,19
TNSTC 7712,Deluxe,Villupuram,Namakkal,05:17 PM,01:09 AM,570,17
TNSTC 4837,Express,Cuddalore,Kanchipuram,09:52 AM,02:41 PM,270,38
TNSTC 8473,Express,Tenkasi,Cuddalore,08:22 AM,02:57 PM,520,26
TNSTC 9604,AC Sleeper,Tiruvarur,Theni,05:19 AM,02:44 PM,620,36
TNSTC 8042,Ultra Deluxe,Ranipet,Thoothukudi,03:29 AM,08:45 AM,450,6
TNSTC 6306,Deluxe,Namakkal,Chengalpattu,02:00 PM,10:39 PM,480,9
TNSTC 9195,Deluxe,Ranipet,Chennai,07:06 AM,09:26 AM,460,10
TNSTC 4737,Ultra Deluxe,Tirupathur,Ranipet,01:56 AM,08:35 AM,500,13
TNSTC 9289,AC Seater,Tenkasi,Ramanathapuram,06:20 PM,09:01 PM,580,24
TNSTC 9177,Express,Sivaganga,Madurai,04:36 AM,08:48 AM,580,6
TNSTC 6627,AC Sleeper,Kallakurichi,Perambalur,11:22 AM,04:35 PM,360,10
TNSTC 1621,Government,Tiruvarur,Karur,05:42 AM,09:41 AM,630,30
TNSTC 4157,Ultra Deluxe,Cuddalore,Chengalpattu,09:17 PM,01:32 AM,480,38
TNSTC 3019,Express,Ranipet,Tiruvarur,09:37 AM,04:56 PM,450,22
TNSTC 3178,Express,Tirunelveli,Tiruvallur,10:09 PM,07:35 AM,570,10
TNSTC 1362,AC Seater,Perambalur,Tiruvannamalai,12:23 AM,08:01 AM,390,7
TNSTC 4064,AC Seater,Thoothukudi,Kallakurichi,08:34 AM,01:52 PM,340,15
TNSTC 3195,Ultra Deluxe,Mayiladuthurai,Nagapattinam,04:02 PM,07:55 PM,350,24
TNSTC 5711,Government,Dindigul,Coimbatore,09:44 AM,02:13 PM,400,16
TNSTC 1987,Express,Salem,Kanchipuram,06:01 PM,09:23 PM,640,7
TNSTC 1701,Sleeper,Thanjavur,Dharmapuri,01:46 AM,11:28 AM,310,22
TNSTC 8303,Ultra Deluxe,Dharmapuri,Mayiladuthurai,11:23 AM,06:54 PM,600,30
TNSTC 2682,AC Sleeper,Theni,Chengalpattu,01:29 PM,09:31 PM,440,9
TNSTC 1186,AC Seater,Vellore,Tirupur,11:25 PM,06:54 AM,490,28
TNSTC 6134,Sleeper,Vellore,Krishnagiri,09:56 PM,04:35 AM,180,1
TNSTC 5047,AC Seater,Tiruvallur,Chennai,03:27 PM,12:33 AM,580,10
TNSTC 7214,AC Sleeper,Karur,Tirupathur,01:47 PM,07:45 PM,230,8
TNSTC 3806,Sleeper,Chennai,Tirunelveli,12:43 PM,04:49 PM,470,27
TNSTC 1343,Government,Tiruvarur,Krishnagiri,03:11 PM,12:32 AM,430,14
TNSTC 5597,AC Sleeper,Dindigul,Tiruvarur,02:50 AM,10:09 AM,350,20
TNSTC 8456,AC Seater,Ambur,Ranipet,09:45 AM,04:44 PM,600,35
TNSTC 2015,Express,Tirupur,Virudhunagar,01:53 PM,07:00 PM,280,6
TNSTC 6004,Sleeper,Madurai,Vellore,12:27 PM,03:46 PM,150,1
TNSTC 9093,Deluxe,Coimbatore,Ramanathapuram,02:25 PM,04:58 PM,470,33
TNSTC 7145,Deluxe,Krishnagiri,Ariyalur,01:51 AM,10:28 AM,620,9
TNSTC 9986,AC Sleeper,Villupuram,Kanchipuram,12:02 AM,07:10 AM,450,8
TNSTC 2992,Sleeper,Perambalur,Karur,02:28 PM,07:36 PM,370,4
TNSTC 8141,Deluxe,Ambur,Karur,04:14 AM,10:05 AM,400,36
TNSTC 4134,AC Sleeper,Tirupur,Ranipet,12:46 AM,06:04 AM,360,22
TNSTC 3194,Sleeper,Erode,Ramanathapuram,10:44 PM,12:59 AM,150,24
TNSTC 3821,AC Seater,Tiruvarur,Dharmapuri,10:00 PM,06:14 AM,180,11
TNSTC 9206,Sleeper,Dharmapuri,Mayiladuthurai,01:47 PM,04:03 PM,170,7
TNSTC 5587,Government,Vellore,Salem,08:23 PM,11:44 PM,610,28
TNSTC 5920,AC Seater,Tirupur,Salem,05:23 PM,11:25 PM,260,23
TNSTC 9108,Ultra Deluxe,Dindigul,Krishnagiri,06:55 AM,10:22 AM,290,21
TNSTC 5793,AC Sleeper,Nagapattinam,Chengalpattu,04:21 AM,11:46 AM,150,4
TNSTC 1727,Ultra Deluxe,Namakkal,Cuddalore,08:33 PM,11:16 PM,370,27
TNSTC 2479,AC Seater,Kallakurichi,Kanchipuram,04:01 PM,11:40 PM,600,14
TNSTC 3236,Ultra Deluxe,Nagapattinam,Madurai,04:38 PM,02:05 AM,570,8
TNSTC 9528,Express,Karur,Trichy,09:56 AM,03:18 PM,550,28
TNSTC 7496,Deluxe,Tirupur,Villupuram,05:46 PM,02:13 AM,280,10
TNSTC 7312,AC Seater,Nagapattinam,Trichy,01:48 AM,10:37 AM,330,6
TNSTC 3352,Ultra Deluxe,Sivaganga,Coimbatore,10:00 PM,02:01 AM,320,3
TNSTC 7225,Government,Thanjavur,Tenkasi,10:02 AM,01:31 PM,530,27
TNSTC 6220,AC Sleeper,Trichy,Krishnagiri,05:53 PM,01:49 AM,490,24
TNSTC 5686,Deluxe,Kanchipuram,Kanyakumari,12:37 PM,05:08 PM,310,32
TNSTC 4896,AC Sleeper,Nilgiris,Tiruvarur,01:22 AM,07:42 AM,330,23
TNSTC 7972,Sleeper,Nilgiris,Thoothukudi,07:29 PM,05:28 AM,220,12
TNSTC 4718,Government,Madurai,Chengalpattu,03:01 AM,05:06 AM,600,2
TNSTC 5057,Sleeper,Salem,Ramanathapuram,05:50 PM,12:12 AM,400,3
TNSTC 9529,AC Seater,Cuddalore,Salem,11:32 PM,08:18 AM,380,39
TNSTC 7421,Government,Chennai,Vellore,05:19 PM,12:11 AM,240,33
TNSTC 4779,AC Seater,Cuddalore,Virudhunagar,09:36 AM,05:25 PM,530,20
TNSTC 5084,Sleeper,Namakkal,Ambur,02:31 PM,09:21 PM,290,25
TNSTC 7369,AC Sleeper,Tenkasi,Nagapattinam,04:48 PM,09:29 PM,400,5
TNSTC 8887,Express,Chengalpattu,Tirupur,08:20 AM,12:31 PM,350,22
TNSTC 5046,Ultra Deluxe,Theni,Thoothukudi,04:31 PM,07:51 PM,600,14
TNSTC 2237,Government,Sivaganga,Kanyakumari,07:33 PM,04:47 AM,470,15
TNSTC 5513,Express,Dharmapuri,Sivaganga,07:33 PM,01:27 AM,210,9
TNSTC 4145,Ultra Deluxe,Tenkasi,Cuddalore,06:39 AM,12:30 PM,550,16
TNSTC 6031,AC Seater,Krishnagiri,Theni,06:27 AM,02:13 PM,370,1
TNSTC 9037,Government,Thanjavur,Tirunelveli,04:30 PM,08:41 PM,270,32
TNSTC 6175,AC Seater,Kanyakumari,Dindigul,08:36 PM,02:46 AM,470,15
TNSTC 5236,Ultra Deluxe,Tiruvarur,Coimbatore,09:21 PM,12:22 AM,450,38
TNSTC 5036,Deluxe,Tiruvallur,Nilgiris,09:43 AM,06:22 PM,630,15
TNSTC 2963,AC Sleeper,Dindigul,Vellore,02:58 AM,05:22 AM,400,32
TNSTC 9166,Sleeper,Cuddalore,Thanjavur,08:55 PM,02:09 AM,350,24
TNSTC 9466,AC Sleeper,Theni,Erode,03:36 PM,10:40 PM,240,34
TNSTC 7379,Express,Ranipet,Chennai,05:41 AM,11:14 AM,340,31
TNSTC 1338,Government,Mayiladuthurai,Chennai,06:35 AM,12:13 PM,320,29
TNSTC 6244,Deluxe,Salem,Kallakurichi,03:35 PM,11:21 PM,430,28
TNSTC 8345,Sleeper,Kanchipuram,Villupuram,03:11 PM,05:36 PM,500,25
TNSTC 5249,Express,Karur,Kanyakumari,06:04 AM,02:13 PM,490,16
TNSTC 9552,AC Sleeper,Perambalur,Theni,05:01 AM,07:02 AM,290,2
TNSTC 8857,Ultra Deluxe,Namakkal,Tiruvannamalai,09:54 AM,12:46 PM,230,10
TNSTC 1955,Sleeper,Sivaganga,Tirupathur,12:03 AM,05:23 AM,330,6
TNSTC 8688,Ultra Deluxe,Thoothukudi,Ambur,08:23 PM,03:38 AM,240,21
TNSTC 9537,Ultra Deluxe,Cuddalore,Trichy,05:32 AM,12:55 PM,420,33
TNSTC 1696,Express,Madurai,Cuddalore,08:01 AM,02:46 PM,170,18
TNSTC 5043,Government,Theni,Cuddalore,09:54 AM,05:08 PM,350,21
TNSTC 7302,AC Sleeper,Thoothukudi,Tirupathur,07:10 AM,01:26 PM,180,7
TNSTC 4193,Government,Theni,Nilgiris,10:04 PM,07:07 AM,600,6
TNSTC 5783,Ultra Deluxe,Kanchipuram,Madurai,11:00 PM,02:05 AM,570,34
TNSTC 2626,Deluxe,Thanjavur,Ranipet,01:01 AM,08:19 AM,380,20
TNSTC 6577,AC Sleeper,Krishnagiri,Salem,08:16 PM,12:48 AM,430,18
TNSTC 8852,Deluxe,Tirupur,Dindigul,02:05 AM,05:40 AM,320,35
TNSTC 9186,AC Seater,Namakkal,Tenkasi,08:03 PM,12:13 AM,560,7
TNSTC 7811,Deluxe,Chennai,Perambalur,11:45 PM,04:52 AM,630,17
TNSTC 9665,AC Seater,Mayiladuthurai,Theni,11:26 PM,07:34 AM,290,11
TNSTC 2088,Deluxe,Madurai,Ranipet,12:50 AM,02:54 AM,380,10
TNSTC 9892,AC Sleeper,Kanchipuram,Nilgiris,05:32 AM,02:36 PM,380,14
TNSTC 2346,Deluxe,Mayiladuthurai,Tiruvarur,05:05 AM,09:04 AM,530,34
TNSTC 6427,Deluxe,Ambur,Chengalpattu,07:00 AM,03:42 PM,440,35
TNSTC 8664,AC Seater,Namakkal,Coimbatore,01:49 PM,11:34 PM,310,39
TNSTC 3260,Ultra Deluxe,Ranipet,Erode,01:07 PM,09:51 PM,250,32
TNSTC 3256,Ultra Deluxe,Thanjavur,Chengalpattu,11:52 PM,03:32 AM,470,34
TNSTC 3579,AC Sleeper,Theni,Dharmapuri,03:57 PM,09:58 PM,600,27
TNSTC 5451,AC Sleeper,Tiruvarur,Ranipet,12:13 AM,09:27 AM,310,24
TNSTC 7801,AC Sleeper,Chengalpattu,Ranipet,06:00 PM,03:28 AM,150,3
TNSTC 3048,Deluxe,Pudukkottai,Madurai,06:26 PM,02:36 AM,240,12
TNSTC 4502,AC Sleeper,Ambur,Thanjavur,09:36 AM,05:51 PM,590,16
TNSTC 5074,Deluxe,Namakkal,Tirupur,10:39 PM,02:37 AM,200,37
TNSTC 8439,Sleeper,Pudukkottai,Villupuram,08:36 PM,03:52 AM,260,1
TNSTC 7834,Sleeper,Chengalpattu,Sivaganga,12:55 AM,04:52 AM,400,5
TNSTC 7064,Sleeper,Tiruvannamalai,Coimbatore,07:06 PM,09:59 PM,580,32
TNSTC 9141,Deluxe,Virudhunagar,Vellore,09:37 AM,03:02 PM,200,39
TNSTC 4868,Government,Cuddalore,Kallakurichi,07:02 PM,11:09 PM,370,25
TNSTC 4129,Sleeper,Mayiladuthurai,Karur,08:17 AM,11:47 AM,400,12
TNSTC 4783,Government,Karur,Virudhunagar,07:14 AM,10:24 AM,550,38
TNSTC 2169,AC Sleeper,Thanjavur,Tirunelveli,05:35 PM,02:33 AM,470,5
TNSTC 1046,AC Seater,Tiruvallur,Dharmapuri,05:12 PM,01:35 AM,370,33
TNSTC 2802,Government,Salem,Ranipet,01:11 PM,07:27 PM,520,11
TNSTC 9157,Government,Madurai,Dindigul,04:18 PM,10:38 PM,200,26
TNSTC 1444,Government,Ambur,Tiruvarur,02:11 PM,09:46 PM,170,31
TNSTC 8551,Deluxe,Thanjavur,Kanyakumari,01:23 AM,06:30 AM,370,29
TNSTC 6387,AC Seater,Tiruvannamalai,Ariyalur,06:30 AM,01:30 PM,420,28
TNSTC 9480,Deluxe,Nilgiris,Villupuram,12:12 AM,03:03 AM,280,24
TNSTC 2780,Ultra Deluxe,Salem,Thoothukudi,05:08 AM,08:02 AM,390,31
TNSTC 1767,Express,Villupuram,Tirupur,05:57 PM,11:13 PM,550,5
TNSTC 4403,AC Seater,Villupuram,Tiruvallur,01:57 PM,04:42 PM,570,19
TNSTC 3611,Sleeper,Krishnagiri,Pudukkottai,03:33 PM,11:28 PM,410,31
TNSTC 9260,AC Seater,Pudukkottai,Karur,07:26 AM,01:29 PM,260,17
TNSTC 6842,Government,Sivaganga,Tiruvallur,11:36 AM,02:43 PM,560,22
TNSTC 7016,Deluxe,Ranipet,Erode,06:42 AM,01:40 PM,260,29
TNSTC 5774,AC Sleeper,Thoothukudi,Ariyalur,12:49 PM,03:32 PM,210,22
TNSTC 3467,Government,Erode,Trichy,11:44 AM,05:54 PM,400,30
TNSTC 6609,Deluxe,Chengalpattu,Cuddalore,07:39 PM,10:38 PM,400,4
TNSTC 7402,Government,Karur,Madurai,05:19 PM,11:02 PM,530,25
TNSTC 3391,Government,Dindigul,Pudukkottai,04:57 AM,11:15 AM,240,22
TNSTC 1508,Deluxe,Kanyakumari,Karur,04:33 PM,08:27 PM,380,3
TNSTC 6186,Government,Erode,Tenkasi,12:12 AM,04:51 AM,390,30
TNSTC 6049,AC Seater,Dharmapuri,Mayiladuthurai,09:25 AM,06:17 PM,160,8
TNSTC 8126,AC Sleeper,Tiruvallur,Ranipet,11:36 AM,09:32 PM,590,3
TNSTC 7844,AC Sleeper,Dharmapuri,Kanyakumari,10:50 AM,07:07 PM,550,14
TNSTC 2537,Government,Ariyalur,Salem,04:07 AM,10:40 AM,600,29
TNSTC 9724,AC Seater,Thanjavur,Thoothukudi,07:02 AM,12:56 PM,240,32
TNSTC 1357,Government,Ariyalur,Pudukkottai,10:26 AM,05:51 PM,490,7
TNSTC 8187,Deluxe,Ambur,Dindigul,12:15 PM,04:42 PM,440,38
TNSTC 9293,Deluxe,Ariyalur,Erode,09:51 AM,03:10 PM,230,9
TNSTC 8226,Ultra Deluxe,Ambur,Nagapattinam,11:15 AM,04:23 PM,460,12
TNSTC 3575,Ultra Deluxe,Tiruvarur,Coimbatore,04:26 AM,12:45 PM,340,7
TNSTC 9867,Express,Erode,Salem,06:48 PM,10:06 PM,620,24
TNSTC 3625,AC Seater,Mayiladuthurai,Dindigul,12:37 PM,03:58 PM,520,26
TNSTC 2802,AC Sleeper,Tirupur,Namakkal,06:51 AM,04:43 PM,490,33
TNSTC 5918,Government,Tirupathur,Karur,04:42 PM,11:57 PM,530,13
TNSTC 8691,Ultra Deluxe,Theni,Villupuram,02:08 PM,09:52 PM,390,23
TNSTC 8539,Deluxe,Coimbatore,Tirupur,01:26 AM,10:10 AM,350,21
TNSTC 8480,AC Sleeper,Ramanathapuram,Kanyakumari,05:23 PM,11:28 PM,220,12
TNSTC 6652,Government,Tirupur,Ambur,01:30 AM,04:42 AM,610,39
TNSTC 3799,Express,Vellore,Dharmapuri,03:34 AM,10:13 AM,630,18
TNSTC 4207,Deluxe,Nilgiris,Kallakurichi,04:39 AM,07:18 AM,470,22
TNSTC 9630,Ultra Deluxe,Ambur,Tirupathur,01:28 PM,07:09 PM,380,24
TNSTC 1144,Government,Nagapattinam,Mayiladuthurai,09:13 PM,02:36 AM,270,22
TNSTC 4796,Government,Tiruvallur,Tirunelveli,04:25 PM,12:03 AM,530,33
TNSTC 7287,Ultra Deluxe,Trichy,Theni,03:16 AM,12:12 PM,290,1
TNSTC 2136,Ultra Deluxe,Cuddalore,Namakkal,12:29 PM,05:12 PM,220,5
TNSTC 7206,Ultra Deluxe,Tiruvannamalai,Tiruvarur,03:12 PM,12:23 AM,450,19
TNSTC 8874,Sleeper,Kanyakumari,Perambalur,10:14 PM,05:18 AM,290,18
TNSTC 3888,Express,Dharmapuri,Tirupur,10:36 PM,12:56 AM,180,18
TNSTC 1761,Government,Krishnagiri,Thoothukudi,09:33 PM,07:00 AM,560,38
TNSTC 3253,AC Sleeper,Ramanathapuram,Namakkal,02:04 PM,06:55 PM,530,25
TNSTC 5856,Sleeper,Thoothukudi,Ambur,05:49 AM,12:45 PM,370,35
TNSTC 6507,Government,Tiruvallur,Thanjavur,11:27 PM,06:30 AM,190,11
TNSTC 7569,AC Sleeper,Mayiladuthurai,Pudukkottai,11:49 AM,04:44 PM,480,21
TNSTC 3541,Deluxe,Salem,Kanchipuram,08:13 AM,04:53 PM,340,33
TNSTC 3891,Sleeper,Thanjavur,Kallakurichi,09:57 AM,05:21 PM,390,7
TNSTC 7474,AC Sleeper,Mayiladuthurai,Madurai,05:46 PM,12:13 AM,400,34
TNSTC 8113,Ultra Deluxe,Sivaganga,Dindigul,02:09 AM,11:38 AM,380,40
TNSTC 2196,AC Seater,Trichy,Tenkasi,04:35 AM,07:40 AM,360,9
TNSTC 1163,AC Seater,Kallakurichi,Villupuram,12:44 PM,06:32 PM,260,16
TNSTC 4152,AC Sleeper,Thoothukudi,Tirupur,04:29 AM,09:50 AM,190,38
TNSTC 4815,Express,Karur,Tiruvannamalai,02:33 AM,09:15 AM,310,14
TNSTC 6667,Ultra Deluxe,Ramanathapuram,Vellore,03:08 PM,08:49 PM,540,34
TNSTC 2172,Express,Kanchipuram,Chengalpattu,02:36 PM,09:23 PM,160,27
